2023-09-07 14:15:24,2023-09-07 14:39:05
18664634,ASUS 비보북 프로 16X OLED N7601ZM-B12759KD,"SSD 1TB_1,807,540|SSD 2TB_1,949,990|SSD 256GB + SSD 1TB_1,679,420|SSD 512GB + SSD 1TB_1,721,190|SSD 1TB + SSD 1TB_1,752,520"
19396952,ASUS 비보북 프로 16X OLED N7601ZM-B12759KD WIN11,"SSD 1TB_1,684,630|SSD 2TB_1,849,990|SSD 256GB + SSD 1TB_1,695,080|SSD 512GB + SSD 1TB_1,736,860|SSD 1TB + SSD 1TB_1,768,190"
17932769,ASUS 젠북 17 Fold OLED UX9702AA-MD021W,"SSD 1TB_3,299,000|중고_일시품절"
20257133,ASUS 젠북 S 13 OLED UX5304VA-NQ127,"SSD 512GB_1,499,000"
20565419,ASUS 젠북 S 13 OLED UX5304VA-NQ221W,"SSD 512GB_1,549,000"
17373701,ASUS 젠북 프로 16X OLED UX7602ZM-ME004W,"SSD 1TB_1,999,000|SSD 2TB_2,587,160"
17373575,ASUS 젠북 프로 16X OLED UX7602ZM-ME013W,"SSD 1TB_1,699,000"
18151805,DELL 인스피론 15 3525 UB03KR 16GB램,"SSD 512GB_780,000|SSD 1TB_940,000|SSD 2TB_1,060,000"
27992861,GIGABYTE AERO 16 BSF OLED i7 32GB램,"SSD 1TB_2,956,000|SSD 500GB + SSD 1TB_2,960,000|SSD 1TB + SSD 1TB_3,081,000|SSD 2TB + SSD 1TB_3,218,000"
27993287,GIGABYTE AERO 5 KE4 OLED WIN11,"SSD 1TB_1,592,240"
27991661,GIGABYTE AORUS 15 XE4z WIN11,"SSD 1TB_2,338,000|SSD 500GB + SSD 1TB_2,330,000|SSD 1TB + SSD 1TB_2,463,000|SSD 2TB + SSD 1TB_2,599,900"
27987941,GIGABYTE AORUS 17 XE4 WIN11,"SSD 1TB_2,288,000|SSD 500GB + SSD 1TB_2,270,000|SSD 1TB + SSD 1TB_2,413,000|SSD 2TB + SSD 1TB_2,549,900"
19157885,GIGABYTE AORUS 17X ZFH,"SSD 1TB + SSD 1TB_5,086,270"
27988844,GIGABYTE G5 KE WIN11 16GB램,"SSD 512GB_1,492,000|SSD 250GB + SSD 512GB_1,541,000|SSD 500GB + SSD 512GB_1,551,000|SSD 1TB + SSD 512GB_1,591,000"
27991433,GIGABYTE G5 ME WIN11 16GB램,"SSD 512GB_1,276,900|SSD 250GB + SSD 512GB_1,325,900|SSD 500GB + SSD 512GB_1,335,900|SSD 1TB + SSD 512GB_1,375,900"
27989228,GIGABYTE G7 ME WIN10,"SSD 1TB + SSD 512GB_1,401,000"
27989045,GIGABYTE G7 ME WIN11 16GB램,"SSD 512GB_1,330,000|SSD 250GB + SSD 512GB_1,381,630|SSD 500GB + SSD 512GB_1,389,000|SSD 1TB + SSD 512GB_1,429,000"
19425083,HP 14s-dq5071TU WIN11 16GB램,"SSD 256GB_598,000|SSD 500GB_606,190|SSD 1TB_696,440"
19584542,HP 15-fd0096TU,"SSD 512GB_820,000|SSD 1TB_868,990|SSD 2TB_948,990"
28060916,HP 15s-fq5299TU 16GB램,"SSD 256GB_529,000"
28060940,HP 15s-fq5299TU 32GB램,"SSD 256GB_579,000"
28060904,HP 15s-fq5299TU 8GB램,"SSD 256GB_489,000"
28060994,HP 15s-fq5299TU WIN11,"SSD 256GB_569,000"
27990227,HP 15s-fq5300TU,"SSD 256GB_448,990|SSD 512GB_514,280"
28081067,HP 15s-fq5300TU 8GB램,"SSD 256GB_495,880|SSD 512GB_532,680"
28081121,HP 15s-fq5300TU WIN11,"SSD 256GB_541,880"
19745231,HP Nero 15-fc0064AU WIN11,"SSD 512GB_699,920|SSD 1TB_760,680|SSD 2TB_846,650"
20008901,HP Nero 15-fc0065AU WIN11,"SSD 512GB_573,340|SSD 1TB_622,400|SSD 2TB_701,420"
19281662,HP Nero 15-fc0076AU,"SSD 256GB_398,210|SSD 500GB_400,000|SSD 1TB_430,000|SSD 2TB_529,000"
19474943,HP Nero 15-fc0076AU WIN11,"SSD 256GB_401,560|SSD 500GB_440,770|SSD 1TB_476,000|SSD 2TB_539,000"
27989438,HP 빅터스 15-fa0066TX 16GB램,"SSD 512GB_1,404,870"
20402765,HP 빅터스 16-r0090TX,"SSD 512GB_1,795,000|SSD 1TB_1,875,000|SSD 500GB + SSD 512GB_1,823,000|SSD 1TB + SSD 512GB_1,937,890"
28018196,HP 빅터스 16-r0092TX WIN11 32GB램,"SSD 512GB_1,855,030|SSD 1TB_1,878,940|SSD 2TB_1,944,020"
28081850,HP 빅터스 16-r0148TX WIN11 32GB램,"SSD 512GB_2,046,070|SSD 1TB_2,068,060|SSD 2TB_2,127,930"
24702986,HP 빅터스 16-s0101AX 32GB램,"SSD 512GB_1,697,730|SSD 1TB_1,773,380|SSD 2TB_1,833,240"
20719097,HP 빅터스 16-s0101AX WIN11,"SSD 512GB_1,698,160|SSD 1TB_1,720,160|SSD 2TB_1,780,030"
