2023-09-07 14:15:24,2023-09-07 14:39:05
18885014,LG전자 2023 울트라PC 15UD40R-GX36K,"SSD 256GB_479,000|SSD 500GB_545,900|SSD 1TB_597,950|SSD 2TB_698,990|SSD 4TB_1,435,590|500GB + SSD 256GB_644,000|1TB + SSD 256GB_643,990|||||||||||"
19209866,LG전자 2023 울트라PC 15UD40R-GX56K WIN11 16GB램,"SSD 256GB_618,150|SSD 500GB_637,250|SSD 1TB_683,220|SSD 2TB_786,400|SSD 4TB_1,672,000|500GB + SSD 256GB_873,000|1TB + SSD 256GB_699,000|||||||||"
28053470,LG전자 2023 울트라PC 15UD50R-GX36K 64GB램,"SSD 256GB_1,121,480|SSD 512GB_1,167,480|SSD 1TB_1,185,880|SSD 2TB_1,250,280"
28053554,LG전자 2023 울트라PC 15UD50R-GX36K WIN10 64GB램,"SSD 256GB_1,139,880|SSD 512GB_1,185,880|SSD 1TB_1,204,280|SSD 2TB_1,204,280"
28053674,LG전자 2023 울트라PC 15UD50R-GX36K WIN11 64GB램,"SSD 256GB_1,141,720|SSD 512GB_1,187,720|SSD 1TB_1,206,120|SSD 2TB_1,206,120"
20035388,LG전자 2023 울트라PC 15UD50R-GX56K,"SSD 256GB_831,650|SSD 500GB_858,970|SSD 1TB_878,980|SSD 2TB_968,990|1TB + SSD 256GB_958,990|2TB + SSD 256GB_1,226,000|SSD 250GB + SSD 256GB_917,000||"
20462135,LG전자 2023 울트라PC 15UD50R-GX56K WIN11 16GB램,"SSD 256GB_843,760|SSD 500GB_911,790|SSD 1TB_902,840|SSD 2TB_991,760|1TB + SSD 256GB_1,099,000|2TB + SSD 256GB_1,487,000|SSD 250GB + SSD 256GB_1,119,000||"
20108333,LG전자 2023 울트라PC 엣지 16U70R-GA56K,"SSD 256GB_1,064,880|SSD 500GB_1,403,200|SSD 1TB_1,457,480|SSD 2TB_1,564,200|SSD 3TB_1,725,200|SSD 4TB_1,832,760|SSD 250GB + SSD 256GB_1,360,800|||"
20108435,LG전자 2023 울트라PC 엣지 16U70R-HA56K,"SSD 256GB_1,136,570|SSD 500GB_1,172,910|SSD 1TB_1,334,890|SSD 2TB_1,464,890|SSD 3TB_1,725,890|SSD 4TB_1,972,640|SSD 250GB + SSD 256GB_1,179,000|||"
19071956,LG전자 2in1 PC 디테처블 12T50Q-L720ML,"eMMC 64GB_990,000"
18796151,LG전자 그램 스타일16 16Z90RS-GA50K,"SSD 256GB_1,902,990|SSD 500GB_1,975,690|SSD 1TB_1,991,290|SSD 2TB_2,050,180|SSD 250GB + SSD 256GB_1,979,000|SSD 500GB + SSD 256GB_1,999,000|SSD 1TB + SSD 256GB_2,049,000||||"
18796190,LG전자 그램 스타일16 16Z90RS-GA56K,"SSD 512GB_1,970,670|SSD 1TB_2,087,990|SSD 2TB_2,118,990|SSD 3TB_2,350,000|SSD 4TB_2,550,000|SSD 8TB_4,208,970|SSD 250GB + SSD 512GB_2,078,990||||||"
20381024,LG전자 그램 스타일16 16Z90RS-GA70K,"SSD 250GB_2,659,960|SSD 512GB_2,345,000|SSD 1TB_2,418,000|SSD 2TB_2,690,000|SSD 250GB + SSD 250GB_2,691,330|SSD 500GB + SSD 250GB_2,708,060|SSD 1TB + SSD 250GB_2,724,270|||"
27988535,LG전자 다나와인증 13Z940 i5,"중고_214,000"
16524194,LG전자 다나와인증 15N365,"중고_259,000"
17459528,LG전자 울트라PC 엣지 16U70Q-HA56K,"SSD 256GB_1,129,000|SSD 500GB_1,179,000|SSD 1TB_1,237,000|SSD 2TB_1,959,070|SSD 3TB_2,608,200|SSD 4TB_2,770,120|SSD 256GB + SSD 256GB_1,329,000||||||"
17460428,LG전자 울트라PC 엣지 16U70Q-HA76K,"SSD 256GB_1,279,000|SSD 500GB_1,293,420|SSD 1TB_1,309,620|SSD 2TB_1,370,790|SSD 3TB_2,484,000|SSD 4TB_2,642,240|SSD 256GB + SSD 256GB_1,398,710|||||||"
15760781,MPGIO 아테나 블랙테크,"eMMC 64GB_289,000|키보드 포함, eMMC 64GB_327,900|SSD 128GB_348,000|SSD 250GB_418,000|SSD 512GB_488,500"
20166269,MSI GE시리즈 Raider GE68 HX 13VG-i9 4K,"SSD 1TB_2,613,770|SSD 2TB_2,847,270|SSD 1TB + SSD 1TB_3,018,740|SSD 2TB + SSD 1TB_3,534,000"
20250212,MSI GE시리즈 Raider GE68 HX 13VG-i9 4K 32GB램,"SSD 1TB_2,841,350|SSD 2TB_3,490,000"
20250335,MSI GE시리즈 Raider GE68 HX 13VG-i9 4K 64GB램,"SSD 1TB_3,609,600|SSD 2TB_3,750,000"
20278853,MSI GE시리즈 Raider GE68 HX 13VG-i9 4K WIN11,"SSD 1TB_3,008,740|SSD 2TB_3,570,000"
20250242,MSI GE시리즈 Raider GE68 HX 13VG-i9 4K WIN11 32GB램,"SSD 1TB_2,862,140|SSD 2TB_2,923,600|SSD 1TB + SSD 1TB_3,498,770"
20250320,MSI GE시리즈 Raider GE68 HX 13VG-i9 4K WIN11 64GB램,"SSD 1TB_2,995,220|SSD 2TB_3,056,400|SSD 4TB_3,934,610|SSD 1TB + SSD 1TB_3,789,990|SSD 2TB + SSD 1TB_3,908,990"
20105159,MSI GE시리즈 Raider GE78 HX 13VG-i9 QHD,"SSD 1TB_2,997,550|SSD 2TB_3,390,000|SSD 1TB + SSD 1TB_3,390,000|SSD 2TB + SSD 1TB_3,490,000"
20143310,MSI GE시리즈 Raider GE78 HX 13VG-i9 QHD 32GB램,"SSD 1TB_3,350,000|SSD 2TB_3,490,000"
20143388,MSI GE시리즈 Raider GE78 HX 13VG-i9 QHD WIN11 64GB램,"SSD 1TB_3,610,000|SSD 2TB_3,770,000|SSD 4TB_4,190,000|SSD 1TB + SSD 1TB_3,810,000|SSD 2TB + SSD 1TB_3,920,000"
20524235,MSI GE시리즈 Raider GE78 HX 13VG-i9 SmartTP,"SSD 2TB_3,485,780"
25670615,MSI GE시리즈 Raider GE78 HX 13VG-i9 SmartTP 64GB램,"SSD 2TB_4,040,000"
25669352,MSI GE시리즈 Raider GE78 HX 13VG-i9 SmartTP WIN11,"SSD 2TB_3,832,970"
25670192,MSI GE시리즈 Raider GE78 HX 13VG-i9 SmartTP WIN11 64GB램,"SSD 2TB_4,090,000|SSD 1TB + SSD 2TB_4,360,000|SSD 2TB + SSD 2TB_4,510,000"
20160305,MSI GE시리즈 Raider GE78 HX 13VH-i9 QHD W11,"SSD 1TB_3,643,680|SSD 2TB_4,730,000|SSD 1TB + SSD 1TB_4,474,150|SSD 2TB + SSD 1TB_4,520,090|SSD 2TB + SSD 2TB_4,689,150"
20228618,MSI GE시리즈 Raider GE78 HX 13VH-i9 QHD W11 64GB램,"SSD 1TB_4,539,390|SSD 2TB_4,930,000|SSD 1TB + SSD 1TB_4,636,270|SSD 2TB + SSD 1TB_4,760,210|SSD 2TB + SSD 2TB_4,933,970"
20519810,MSI GE시리즈 Raider GE78 HX 13VI-i9 QHD W11,"SSD 2TB_5,460,900|SSD 1TB + SSD 2TB_5,600,000|SSD 2TB + SSD 2TB_5,700,000"
21541940,MSI GE시리즈 Raider GE78 HX 13VI-i9 QHD W11 64GB램,"SSD 2TB_5,700,000|SSD 1TB + SSD 2TB_5,800,000|SSD 2TB + SSD 2TB_5,900,000|SSD 4TB + SSD 2TB_6,209,990"
16410614,MSI GE시리즈 레이더 GE66 12UGS QHD,"SSD 1TB_2,226,400|SSD 2TB_2,519,000|SSD 1TB + SSD 1TB_2,594,400|SSD 2TB + SSD 1TB_2,688,400"
16963532,MSI GE시리즈 레이더 GE66 12UGS QHD 32GB램,"SSD 1TB_2,589,320|SSD 2TB_2,749,990"
18208799,MSI GE시리즈 레이더 GE66 12UGS QHD 64GB램,"SSD 1TB_2,729,610|SSD 2TB_2,779,000"
16793468,MSI GE시리즈 레이더 GE66 12UGS QHD WIN10,"SSD 1TB_2,840,000|SSD 1TB + SSD 1TB_2,975,000"
16963454,MSI GE시리즈 레이더 GE66 12UGS QHD WIN11,"SSD 1TB_2,527,920|SSD 2TB_2,672,190"
16963502,MSI GE시리즈 레이더 GE66 12UGS QHD WIN11 32GB램,"SSD 1TB_2,625,300|SSD 2TB_2,678,990"
18208916,MSI GE시리즈 레이더 GE66 12UGS QHD WIN11 64GB램,"SSD 1TB_2,758,890|SSD 2TB_2,828,990"
16410272,MSI GE시리즈 레이더 GE76 12UGS QHD,"SSD 1TB_2,610,640|SSD 2TB_2,688,400|SSD 500GB + SSD 1TB_3,820,000|SSD 1TB + SSD 1TB_2,867,000|SSD 2TB + SSD 1TB_2,820,000"
18197438,MSI GE시리즈 레이더 GE76 12UGS QHD 64GB램,"SSD 1TB_2,707,190|SSD 2TB_2,848,190"
16505150,MSI GE시리즈 레이더 GE76 12UGS QHD WIN10,"SSD 1TB_2,810,590|SSD 2TB_2,961,000"
16778231,MSI GE시리즈 레이더 GE76 12UGS QHD WIN11,"SSD 1TB_2,594,390|SSD 2TB_2,744,800|SSD 1TB + SSD 1TB_3,990,000|SSD 2TB + SSD 1TB_4,080,000"
18197495,MSI GE시리즈 레이더 GE76 12UGS QHD WIN11 64GB램,"SSD 1TB_2,791,790|SSD 2TB_2,826,570|SSD 1TB + SSD 1TB_3,930,000|SSD 2TB + SSD 2TB_3,211,880"
16630319,MSI GE시리즈 레이더 GE76 12UH QHD,"SSD 2TB_3,444,000|SSD 1TB + SSD 2TB_3,870,000|SSD 2TB + SSD 2TB_4,070,000"
17265398,MSI GE시리즈 레이더 GE76 12UH QHD 64GB램,"SSD 2TB_3,809,000|SSD 1TB + SSD 2TB_3,909,000"
17765396,MSI GE시리즈 레이더 GE76 12UH QHD WIN11,"SSD 2TB_3,990,000|SSD 1TB + SSD 2TB_4,590,000|SSD 2TB + SSD 2TB_4,690,000|SSD 512GB + SSD 1TB_4,490,000"
17400833,MSI GF시리즈 GF63 Thin 11UC-i5,"SSD 512GB_848,900|SSD 1TB_874,000|SSD 2TB_968,190|1TB + SSD 512GB_949,390"
17476580,MSI GF시리즈 GF63 Thin 11UC-i5 32GB램,"SSD 512GB_921,110|SSD 1TB_962,320|SSD 2TB_1,067,200"
17800847,MSI GF시리즈 GF63 Thin 11UC-i5 64GB램,"SSD 512GB_1,046,760|SSD 1TB_1,104,000|SSD 2TB_1,196,000"
17479280,MSI GF시리즈 GF63 Thin 11UC-i5 WIN10,"SSD 512GB_918,070|SSD 1TB_1,000,040"
18739760,MSI GF시리즈 GF63 Thin 11UC-i5 WIN11,"SSD 512GB_920,920|SSD 1TB_980,360|SSD 2TB_1,097,560|1TB + SSD 512GB_1,015,190"
18739835,MSI GF시리즈 GF63 Thin 11UC-i5 WIN11 32GB램,"SSD 512GB_1,022,120|SSD 1TB_1,116,880|SSD 2TB_1,203,270"
18739508,MSI GF시리즈 GF63 Thin 11UC-i5 WIN11 64GB램,"SSD 512GB_1,153,500|SSD 1TB_1,259,480|SSD 2TB_1,334,830"
27657551,MSI GF시리즈 GF63 Thin 11UCX-i5,"SSD 512GB_740,860|SSD 1TB_799,940|SSD 2TB_899,960|1TB + SSD 512GB_829,000"
27728675,MSI GF시리즈 GF63 Thin 11UCX-i5 16GB램,"SSD 512GB_744,710|SSD 1TB_813,280|SSD 2TB_949,000"
27729662,MSI GF시리즈 GF63 Thin 11UCX-i5 32GB램,"SSD 512GB_858,000|SSD 1TB_908,000|SSD 2TB_1,010,000"
27729710,MSI GF시리즈 GF63 Thin 11UCX-i5 64GB램,"SSD 512GB_970,000|SSD 1TB_1,033,000|SSD 2TB_1,127,000"
28056695,MSI GF시리즈 GF63 Thin 11UCX-i5 WIN10 16GB램,"SSD 512GB_894,000|SSD 1TB_919,000|SSD 2TB_989,000"
28056773,MSI GF시리즈 GF63 Thin 11UCX-i5 WIN10 32GB램,"SSD 1TB_969,000|SSD 2TB_1,039,000"
27730247,MSI GF시리즈 GF63 Thin 11UCX-i5 WIN11,"SSD 512GB_888,990|SSD 1TB_959,000|SSD 2TB_1,160,000|1TB + SSD 512GB_984,000"
27730370,MSI GF시리즈 GF63 Thin 11UCX-i5 WIN11 16GB램,"SSD 512GB_917,990|SSD 1TB_977,890|SSD 2TB_1,043,890"
27731423,MSI GF시리즈 GF63 Thin 11UCX-i5 WIN11 32GB램,"SSD 512GB_977,000|SSD 1TB_1,010,890|SSD 2TB_1,146,000"
27731516,MSI GF시리즈 GF63 Thin 11UCX-i5 WIN11 64GB램,"SSD 512GB_1,087,890|SSD 1TB_1,142,890|SSD 2TB_1,293,000"
17677541,MSI GF시리즈 GF63 Thin 11UD-i5 16GB램,"SSD 512GB_1,159,000|SSD 1TB_1,570,000"
16359428,MSI GF시리즈 Sword GF66 A12UC 화이트,"SSD 512GB_1,279,000|SSD 1TB_1,296,970|SSD 2TB_1,373,640"
16491218,MSI GF시리즈 Sword GF66 A12UC 화이트 32GB램,"SSD 512GB_1,338,000|SSD 1TB_1,385,660|SSD 2TB_1,859,000"
16491287,MSI GF시리즈 Sword GF66 A12UC 화이트 WIN11,"SSD 512GB_1,310,900|SSD 1TB_1,549,000|SSD 2TB_1,780,000"
16491296,MSI GF시리즈 Sword GF66 A12UC 화이트 WIN11 16GB램,"SSD 512GB_1,356,990|SSD 1TB_1,589,000|SSD 2TB_1,689,000"
17613812,MSI GF시리즈 Sword GF66 A12UC-i5 블랙 WIN11,"SSD 512GB_990,000"
17613836,MSI GF시리즈 Sword GF66 A12UC-i5 블랙 WIN11 16GB램,"SSD 512GB_1,080,000|SSD 1TB_1,490,000|SSD 2TB_1,590,000"
16421849,MSI GF시리즈 Sword GF66 A12UD 블랙,"SSD 512GB_1,199,000|SSD 1TB_1,790,000|SSD 2TB_1,990,000"
16421903,MSI GF시리즈 Sword GF66 A12UD 화이트,"SSD 512GB_1,199,000|SSD 1TB_1,790,000|SSD 2TB_1,990,000"
18613265,MSI GF시리즈 Sword GF66 A12UE 베이직 블랙 32GB램,"SSD 512GB_1,690,000|SSD 1TB_1,770,000|SSD 2TB_1,880,000"
16849439,MSI GF시리즈 Sword GF66 A12UE 블랙 WIN11,"SSD 512GB_1,678,000|SSD 1TB_2,090,000|SSD 2TB_2,290,000|SSD 500GB + SSD 512GB_2,490,000|SSD 1TB + SSD 512GB_2,590,000"
16257506,MSI GF시리즈 Sword GF66 A12UE 화이트,"SSD 512GB_1,199,000|SSD 1TB_2,147,670|SSD 2TB_2,393,950|SSD 500GB + SSD 512GB_2,112,550|SSD 1TB + SSD 512GB_2,249,830"
19425671,MSI GF시리즈 Sword GF66 B12VGK,"SSD 1TB_1,648,990|SSD 2TB_1,737,060|SSD 250GB + SSD 1TB_2,156,990|SSD 500GB + SSD 1TB_2,157,990|SSD 1TB + SSD 1TB_2,182,990|SSD 2TB + SSD 1TB_2,248,990"
19724915,MSI GF시리즈 Sword GF66 B12VGK 32GB램,"SSD 1TB_1,744,090|SSD 2TB_1,812,390|SSD 250GB + SSD 1TB_2,210,000|SSD 500GB + SSD 1TB_2,246,990|SSD 1TB + SSD 1TB_2,272,990|SSD 2TB + SSD 1TB_2,351,990"
19724840,MSI GF시리즈 Sword GF66 B12VGK 64GB램,"SSD 1TB_1,853,090|SSD 2TB_1,915,410|SSD 250GB + SSD 1TB_2,353,990|SSD 500GB + SSD 1TB_2,376,990|SSD 1TB + SSD 1TB_2,388,990|SSD 2TB + SSD 1TB_2,479,990"
19530158,MSI GF시리즈 Sword GF66 B12VGK WIN11,"SSD 1TB_1,696,750|SSD 2TB_1,757,980|SSD 250GB + SSD 1TB_2,178,490|SSD 500GB + SSD 1TB_2,178,990|SSD 1TB + SSD 1TB_2,204,990|SSD 2TB + SSD 1TB_2,290,990"
19530206,MSI GF시리즈 Sword GF66 B12VGK WIN11 32GB램,"SSD 1TB_1,759,870|SSD 2TB_1,832,870|SSD 250GB + SSD 1TB_2,230,000|SSD 500GB + SSD 1TB_2,268,990|SSD 1TB + SSD 1TB_2,295,990|SSD 2TB + SSD 1TB_2,374,990"
19530281,MSI GF시리즈 Sword GF66 B12VGK WIN11 64GB램,"SSD 1TB_1,867,500|SSD 2TB_1,936,330|SSD 250GB + SSD 1TB_2,350,000|SSD 500GB + SSD 1TB_2,415,990|SSD 1TB + SSD 1TB_2,432,990|SSD 2TB + SSD 1TB_2,492,990"
19073759,MSI GF시리즈 Sword GF66 B13VEK,"SSD 512GB_1,498,000|SSD 1TB_1,528,000|SSD 2TB_1,590,000|SSD 500GB + SSD 512GB_1,929,000|SSD 1TB + SSD 512GB_1,979,000"
19093538,MSI GF시리즈 Sword GF66 B13VEK 32GB램,"SSD 512GB_1,569,000|SSD 1TB_1,591,000|SSD 2TB_1,668,440"
19093550,MSI GF시리즈 Sword GF66 B13VEK 64GB램,"SSD 512GB_1,695,000|SSD 1TB_1,726,500|SSD 2TB_1,787,680"
19093736,MSI GF시리즈 Sword GF66 B13VEK WIN11,"SSD 512GB_1,530,340|SSD 1TB_1,552,810|SSD 2TB_1,613,990"
19093721,MSI GF시리즈 Sword GF66 B13VEK WIN11 32GB램,"SSD 512GB_1,605,700|SSD 1TB_1,628,100|SSD 2TB_1,689,350"
19093730,MSI GF시리즈 Sword GF66 B13VEK WIN11 64GB램,"SSD 512GB_1,724,930|SSD 1TB_1,747,420|SSD 2TB_1,808,580"
19073867,MSI GF시리즈 Sword GF66 B13VFK,"SSD 512GB_1,548,100|SSD 1TB_1,618,890|SSD 2TB_1,680,000|SSD 500GB + SSD 512GB_1,670,000|SSD 1TB + SSD 512GB_1,730,000"
19105802,MSI GF시리즈 Sword GF66 B13VFK 32GB램,"SSD 512GB_1,677,000|SSD 1TB_1,694,000|SSD 2TB_1,708,880|SSD 4TB_1,898,240"
19105829,MSI GF시리즈 Sword GF66 B13VFK 64GB램,"SSD 512GB_1,763,000|SSD 1TB_1,812,000|SSD 2TB_1,891,970|SSD 4TB_2,017,440"
19105982,MSI GF시리즈 Sword GF66 B13VFK WIN11,"SSD 512GB_1,598,970|SSD 1TB_1,657,190|SSD 2TB_1,718,200"
19105895,MSI GF시리즈 Sword GF66 B13VFK WIN11 32GB램,"SSD 512GB_1,709,910|SSD 1TB_1,732,390|SSD 2TB_1,792,660|SSD 4TB_1,919,160"
19105859,MSI GF시리즈 Sword GF66 B13VFK WIN11 64GB램,"SSD 512GB_1,829,190|SSD 1TB_1,851,710|SSD 2TB_1,912,880|SSD 4TB_2,038,360"
15070190,MSI GF시리즈 Sword GF76 A11UC 블랙,"SSD 512GB_1,290,000|SSD 1TB_1,590,000|SSD 2TB_1,790,000"
14781047,MSI GF시리즈 Sword GF76 A11UE 블랙,"SSD 512GB_1,290,800|SSD 1TB_1,409,990|SSD 2TB_1,548,990|SSD 250GB + SSD 512GB_1,487,990|SSD 500GB + SSD 512GB_1,519,990|SSD 1TB + SSD 512GB_1,546,180"
14822189,MSI GF시리즈 Sword GF76 A11UE 블랙 WIN10 32GB램,"SSD 512GB_1,790,000|SSD 1TB_1,640,000|SSD 2TB_1,890,000|SSD 500GB + SSD 512GB_1,690,000|SSD 1TB + SSD 512GB_1,790,000|SSD 2TB + SSD 2TB_2,690,000"
18827123,MSI GF시리즈 Sword GF76 A12UC 포스,"SSD 512GB_1,340,000|SSD 1TB_1,490,000|SSD 2TB_1,590,000"
20487407,MSI GF시리즈 Sword GF76 A12UDX 화이트,"SSD 512GB_1,161,080|SSD 1TB_1,201,480|SSD 2TB_1,279,620"
20487593,MSI GF시리즈 Sword GF76 A12UDX 화이트 16GB램,"SSD 512GB_1,204,390|SSD 1TB_1,249,870|SSD 2TB_1,361,460"
20487629,MSI GF시리즈 Sword GF76 A12UDX 화이트 32GB램,"SSD 512GB_1,277,490|SSD 1TB_1,318,700|SSD 2TB_1,353,690"
20487647,MSI GF시리즈 Sword GF76 A12UDX 화이트 64GB램,"SSD 512GB_1,443,140|SSD 1TB_1,414,310|SSD 2TB_1,477,410"
20487821,MSI GF시리즈 Sword GF76 A12UDX 화이트 WIN11,"SSD 512GB_1,140,620|SSD 1TB_1,236,600|SSD 2TB_1,305,160"
20487737,MSI GF시리즈 Sword GF76 A12UDX 화이트 WIN11 16GB램,"SSD 512GB_1,192,320|SSD 1TB_1,264,500|SSD 2TB_1,346,640"
20487716,MSI GF시리즈 Sword GF76 A12UDX 화이트 WIN11 32GB램,"SSD 512GB_1,291,580|SSD 1TB_1,271,270|SSD 2TB_1,392,710"
20487704,MSI GF시리즈 Sword GF76 A12UDX 화이트 WIN11 64GB램,"SSD 512GB_1,340,520|SSD 1TB_1,451,310|SSD 2TB_1,456,990"
19241312,MSI GF시리즈 Sword GF76 A12UE 포스 WIN11,"SSD 512GB_1,420,000|SSD 1TB_1,890,000|SSD 2TB_1,580,000|SSD 500GB + SSD 512GB_1,550,000"
19074182,MSI GF시리즈 Sword GF76 B12VEK,"SSD 512GB_1,284,730|SSD 1TB_1,349,000|SSD 2TB_1,456,510|SSD 250GB + SSD 512GB_1,505,810|SSD 500GB + SSD 512GB_1,395,000|SSD 1TB + SSD 512GB_1,438,780|SSD 2TB + SSD 512GB_1,617,810"
19238450,MSI GF시리즈 Sword GF76 B12VEK 16GB램,"SSD 512GB_1,379,000|SSD 1TB_1,398,950|SSD 2TB_1,476,320|SSD 250GB + SSD 512GB_1,536,810|SSD 500GB + SSD 512GB_1,544,710|SSD 1TB + SSD 512GB_1,583,670|SSD 2TB + SSD 512GB_1,580,000"
19238474,MSI GF시리즈 Sword GF76 B12VEK 32GB램,"SSD 512GB_1,418,960|SSD 1TB_1,465,990|SSD 2TB_1,551,700|SSD 250GB + SSD 512GB_1,598,630|SSD 500GB + SSD 512GB_1,610,830|SSD 1TB + SSD 512GB_1,600,000|SSD 2TB + SSD 512GB_1,670,000"
19238498,MSI GF시리즈 Sword GF76 B12VEK 64GB램,"SSD 512GB_1,471,880|SSD 1TB_1,580,400|SSD 2TB_1,647,800|SSD 250GB + SSD 512GB_1,739,810|SSD 500GB + SSD 512GB_1,761,830|SSD 1TB + SSD 512GB_1,787,810|SSD 2TB + SSD 512GB_1,888,710"
19238579,MSI GF시리즈 Sword GF76 B12VEK WIN11,"SSD 512GB_1,326,130|SSD 1TB_1,408,590|SSD 2TB_1,452,320|SSD 250GB + SSD 512GB_1,531,710|SSD 500GB + SSD 512GB_1,626,990|SSD 1TB + SSD 512GB_1,655,990|SSD 2TB + SSD 512GB_1,740,990"
19238555,MSI GF시리즈 Sword GF76 B12VEK WIN11 16GB램,"SSD 512GB_1,280,980|SSD 1TB_1,427,510|SSD 2TB_1,497,330|SSD 250GB + SSD 512GB_1,556,830|SSD 500GB + SSD 512GB_1,576,810|SSD 1TB + SSD 512GB_1,629,890|SSD 2TB + SSD 512GB_1,771,990"
19238534,MSI GF시리즈 Sword GF76 B12VEK WIN11 32GB램,"SSD 512GB_1,354,540|SSD 1TB_1,485,350|SSD 2TB_1,549,230|SSD 250GB + SSD 512GB_1,692,990|SSD 500GB + SSD 512GB_1,633,830|SSD 1TB + SSD 512GB_1,669,250|SSD 2TB + SSD 512GB_1,708,810"
19238510,MSI GF시리즈 Sword GF76 B12VEK WIN11 64GB램,"SSD 512GB_1,573,020|SSD 1TB_1,588,990|SSD 2TB_1,667,000|SSD 250GB + SSD 512GB_1,723,710|SSD 500GB + SSD 512GB_1,748,810|SSD 1TB + SSD 512GB_1,787,210|SSD 2TB + SSD 512GB_1,834,810"
19074350,MSI GF시리즈 Sword GF76 B13VEK,"SSD 512GB_1,349,000|SSD 1TB_1,384,610|SSD 2TB_1,441,200|SSD 500GB + SSD 512GB_1,439,770|SSD 1TB + SSD 512GB_1,478,850|SSD 2TB + SSD 512GB_1,558,990"
19109072,MSI GF시리즈 Sword GF76 B13VEK 32GB램,"SSD 512GB_1,383,240|SSD 1TB_1,452,800|SSD 2TB_1,521,000"
19109327,MSI GF시리즈 Sword GF76 B13VEK 64GB램,"SSD 512GB_1,497,650|SSD 1TB_1,579,130|SSD 2TB_1,640,300"
19109468,MSI GF시리즈 Sword GF76 B13VEK WIN11,"SSD 512GB_1,343,060|SSD 1TB_1,405,560|SSD 2TB_1,466,730"
19109384,MSI GF시리즈 Sword GF76 B13VEK WIN11 32GB램,"SSD 512GB_1,403,060|SSD 1TB_1,463,370|SSD 2TB_1,542,020|SSD 500GB + SSD 512GB_1,809,000"
19109351,MSI GF시리즈 Sword GF76 B13VEK WIN11 64GB램,"SSD 512GB_1,577,560|SSD 1TB_1,600,040|SSD 2TB_1,661,210"
19074476,MSI GF시리즈 Sword GF76 B13VFK,"SSD 512GB_1,469,100|SSD 1TB_1,465,700|SSD 2TB_1,615,850|SSD 500GB + SSD 512GB_1,575,320|SSD 1TB + SSD 512GB_1,640,000"
19109762,MSI GF시리즈 Sword GF76 B13VFK 32GB램,"SSD 512GB_1,552,870|SSD 1TB_1,590,360|SSD 2TB_1,684,360|SSD 4TB_1,813,250"
19109783,MSI GF시리즈 Sword GF76 B13VFK 64GB램,"SSD 512GB_1,690,000|SSD 1TB_1,733,350|SSD 2TB_1,799,150|SSD 4TB_1,939,550"
19109885,MSI GF시리즈 Sword GF76 B13VFK WIN11,"SSD 512GB_1,536,950|SSD 1TB_1,576,670|SSD 2TB_1,638,260"
19109849,MSI GF시리즈 Sword GF76 B13VFK WIN11 32GB램,"SSD 512GB_1,591,210|SSD 1TB_1,620,550|SSD 2TB_1,684,360|SSD 4TB_1,841,360"
19109813,MSI GF시리즈 Sword GF76 B13VFK WIN11 64GB램,"SSD 512GB_1,709,850|SSD 1TB_1,729,500|SSD 2TB_1,817,950|SSD 4TB_1,960,560"
20523881,MSI GF시리즈 Sword GF76 B13VGK-i9 QHD,"SSD 512GB_2,129,560|SSD 1TB_2,239,830|SSD 2TB_2,336,360"
20623790,MSI GF시리즈 Sword GF76 B13VGK-i9 QHD 32GB램,"SSD 512GB_2,250,000|SSD 1TB_2,349,000|SSD 2TB_2,415,470"
20623889,MSI GF시리즈 Sword GF76 B13VGK-i9 QHD 64GB램,"SSD 512GB_2,367,990|SSD 1TB_2,462,920|SSD 2TB_2,524,420"
20623640,MSI GF시리즈 Sword GF76 B13VGK-i9 QHD WIN11,"SSD 512GB_2,274,790|SSD 1TB_2,338,650|SSD 2TB_2,379,660"
20623697,MSI GF시리즈 Sword GF76 B13VGK-i9 QHD WIN11 32GB램,"SSD 512GB_2,366,910|SSD 1TB_2,346,830|SSD 2TB_2,472,410"
20623712,MSI GF시리즈 Sword GF76 B13VGK-i9 QHD WIN11 64GB램,"SSD 512GB_2,459,470|SSD 1TB_2,508,730|SSD 2TB_2,588,110|SSD 2TB + SSD 2TB_3,164,690"
24702857,MSI GF시리즈 Thin GF63 12UCX-i5,"SSD 512GB_893,940|SSD 1TB_924,600|SSD 2TB_997,280"
25209521,MSI GF시리즈 Thin GF63 12UCX-i5 16GB램,"SSD 512GB_895,150|SSD 1TB_912,520|SSD 2TB_993,600"
25637939,MSI GF시리즈 Thin GF63 12UCX-i5 32GB램,"SSD 512GB_938,400|SSD 1TB_959,560|SSD 2TB_1,000,860"
25637987,MSI GF시리즈 Thin GF63 12UCX-i5 64GB램,"SSD 512GB_1,078,990|SSD 1TB_1,144,890|SSD 2TB_1,206,950"
25210448,MSI GF시리즈 Thin GF63 12UCX-i5 WIN11,"SSD 512GB_897,000|SSD 1TB_956,800|SSD 2TB_1,037,760"
25637852,MSI GF시리즈 Thin GF63 12UCX-i5 WIN11 16GB램,"SSD 512GB_836,260|SSD 1TB_939,320|SSD 2TB_994,520"
25210979,MSI GF시리즈 Thin GF63 12UCX-i5 WIN11 32GB램,"SSD 512GB_897,000|SSD 1TB_986,240|SSD 2TB_1,065,360"
25637972,MSI GF시리즈 Thin GF63 12UCX-i5 WIN11 64GB램,"SSD 512GB_1,125,050|SSD 1TB_1,162,750|SSD 2TB_1,208,710"
